Page,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-05,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-12,2015-09-13,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-19,2015-09-20,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-26,2015-09-27,2015-09-28,2015-09-29,2015-09-30,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-06,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-03,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-09,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10
ASTRO_zh.wikipedia.org_all-access_spider,,,,,,1,1,,,,,,,1,,,1,0,0,0,,1,0,,,1,,0,,,1,,,,,,,,,,,1,,,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,90,73,31,20,165,1,1,5,10,0,1,10,9,25,4,2,3,2,8,3,5,88,2,6,6,32,9,39,5,6,4,4,41,6,4,1,1,1,4,65,4,5,4,5,3,3,44,11,2,8,17,4,1,1,1,1,8,2,11,4,4,9,4,0,1,5,3,1,6,7,3,1,5,7,5,8,3,5,2,5,7,18,5,13,3,2,59,4,4,3,4,4,2,5,6,8,5,6,6,4,2,5,6,12,4,4,4,5,5,3,3,2,3,2,2,7,3,0,2,3,7,2,10,0,6,0,13,1,13,4,3,2,3,5,16,11,15,26,20,9,24,14,1,7,7,5,6,12,16,19,7,4,6,14,20,38,16,9,3,3,2,8,17,2,8,2,3,26,43,29,4,33,168,24,10,34,18,2,143,27,8,7,75,10,5
Ahq_e-Sports_Club_zh.wikipedia.org_all-access_spider,2,1,4,4,2,6,3,6,9,11,8,8,5,6,5,10,3,9,21,7,28,13,14,4,67,18,32,3,8,5,19,7,5,5,18,5,26,2,2,6,5,17,1,2,3,6,5,4,6,13,18,9,1,6,6,0,4,4,5,3,6,2,5,1,9,3,6,4,6,5,7,4,13,1,4,16,5,5,10,6,8,5,47,8,9,7,18,7,13,8,6,12,17,21,171,40,40,49,51,140,15,23,28,55,40,21,13,49,13,10,42,11,8,5,9,12,11,16,11,17,19,15,7,11,15,22,10,6,12,13,21,6,10,8,6,14,25,7,2,1,2,11,33,7,6,2,23,6,8,1,15,8,5,3,5,9,14,27,10,8,101,5,5,4,7,10,5,5,8,8,5,6,7,5,7,7,8,12,4,6,10,4,5,10,11,8,10,11,16,14,22,11,13,13,10,6,6,48,19,14,19,14,21,8,35,10,16,12,13,14,7,16,12,18,17,16,11,6,10,12,7,13,15,13,12,15,21,4,7,5,8,9,9,9,10,6,9,4,7,6,6,15,11,9,9,7,5,13,10,9,14,6,4,8
All_your_base_are_belong_to_us_zh.wikipedia.org_all-access_spider,2,5,5,1,3,3,5,3,17,3,9,10,3,8,8,5,4,2,7,3,2,6,10,3,3,3,2,6,10,6,2,5,2,5,3,1,2,4,0,2,2,1,4,0,1,18,8,6,6,1,8,5,3,4,5,5,3,1,1,4,5,13,0,8,6,2,1,0,2,7,11,1,0,3,1,1,2,2,4,2,6,5,5,6,6,0,3,3,4,8,0,5,2,1,8,5,2,3,3,3,2,3,6,1,1,3,6,5,6,2,5,9,2,2,3,3,3,7,0,3,2,2,3,5,3,1,0,3,3,8,5,4,11,5,2,1,4,0,0,3,1,0,5,5,6,1,4,6,5,4,14,6,3,6,3,0,4,4,8,1,1,9,3,1,2,5,2,3,6,4,0,5,4,6,6,4,2,4,5,4,12,2,4,4,3,4,4,2,6,3,3,7,4,5,9,10,2,4,5,5,4,5,7,3,8,1,2,3,2,1,5,4,4,2,4,4,3,2,7,3,6,6,2,3,3,6,2,1,3,1,7,2,6,7,3,1,2,5,1,6,4,13,8,15,8,5,1,12,7,5,6,1,5,1
AlphaGo_zh.wikipedia.org_all-access_spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,42,98,42,18,5,22,21,25,12,10,4,14,13,10,9,3,7,9,11,12,5,4,7,7,7,6,8,6,10,4,12,9,13,8,14,13,6,19,24,470,569
Android_zh.wikipedia.org_all-access_spider,8,27,9,25,25,10,34,22,17,45,27,17,19,32,19,58,19,4,6,14,20,27,29,22,18,87,9,32,31,9,10,25,66,34,47,16,12,10,8,36,24,14,187,21,37,16,12,16,50,16,15,21,13,10,21,12,19,12,15,17,22,13,9,14,14,37,9,30,14,10,14,16,11,20,22,17,23,22,39,26,33,49,30,32,35,29,27,36,474,38,45,32,70,22,35,24,38,266,57,33,51,43,45,25,37,42,39,42,31,34,35,42,26,27,27,43,29,23,30,22,33,34,28,25,43,40,28,27,34,24,27,29,32,19,22,38,25,34,27,14,22,24,24,47,30,30,26,27,26,14,28,51,35,21,40,58,51,43,47,48,75,110,23,37,33,27,37,44,33,43,37,34,72,28,43,34,44,46,53,24,96,34,29,38,194,130,32,99,74,39,46,40,43,43,55,88,64,86,120,34,38,42,41,43,49,36,47,41,36,41,35,40,37,30,34,36,59,32,32,18,29,22,17,19,23,32,22,23,22,25,27,32,35,25,29,21,42,24,24,33,34,39,45,43,29,43,70,93,216,174,181,119,55,146
Angelababy_zh.wikipedia.org_all-access_spider,40,17,25,42,41,7,18,21,33,15,58,38,39,28,19,4,19,43,17,27,10,11,12,7,20,10,88,9,13,26,14,5,10,32,8,14,10,1,24,3,12,41,25,6,9,51,12,4,8,26,16,30,8,374,24,175,8,9,9,5,6,8,7,20,10,9,9,30,9,32,6,5,9,24,23,3,8,9,33,18,17,18,10,23,25,17,27,36,19,7,9,19,35,26,17,22,12,7,28,147,129,34,32,31,91,30,83,41,13,12,49,26,12,13,20,21,441,147,50,23,48,122,33,30,35,14,15,36,45,35,33,9,10,13,10,8,7,24,18,6,12,34,19,24,14,20,25,9,22,30,10,13,9,11,13,7,22,22,23,23,18,10,19,13,12,14,12,16,13,47,16,16,37,27,13,7,18,24,14,13,42,13,41,19,31,16,18,15,13,12,12,24,33,33,40,20,33,17,15,21,21,20,10,8,21,29,20,30,20,23,55,12,34,13,14,16,17,20,12,24,32,33,20,22,21,33,31,65,23,22,49,23,22,24,13,11,13,30,22,13,15,24,42,25,20,13,11,16,31,43,14,8,9,4
Apink_zh.wikipedia.org_all-access_spider,61,33,21,10,26,11,39,195,62,18,52,17,41,28,33,52,75,5,61,101,56,41,32,64,107,73,67,18,147,18,82,13,58,27,10,63,5,13,146,8,8,14,33,10,106,11,54,13,105,74,38,17,24,6,68,3,12,27,14,27,11,7,124,8,19,9,22,67,4,12,5,4,7,12,31,6,10,64,14,14,18,21,15,15,9,26,12,24,16,7,14,11,13,16,12,35,7,11,96,9,19,12,10,8,18,9,9,17,11,13,9,14,10,7,19,11,114,17,49,14,11,130,49,17,7,33,16,11,37,51,16,13,11,16,17,14,40,49,13,71,101,64,40,137,13,74,11,54,41,7,17,151,9,15,66,16,79,13,13,9,8,11,7,16,39,11,12,230,10,12,26,12,18,15,14,17,18,14,68,19,144,10,14,26,33,18,18,43,52,64,54,43,33,22,126,49,180,31,27,26,7,45,17,94,51,39,77,54,21,72,32,132,17,25,33,232,80,31,26,20,19,13,75,16,14,159,24,72,39,9,15,18,24,15,12,8,133,21,23,9,107,26,77,17,18,47,16,22,237,135,14,14,13,10
Apple_II_zh.wikipedia.org_all-access_spider,4,8,4,9,7,4,15,9,17,16,10,4,8,17,11,13,12,21,14,5,11,16,8,7,14,8,9,10,15,5,5,8,8,10,9,8,6,5,2,11,10,7,9,8,2,2,5,11,5,4,6,11,12,8,6,4,8,7,8,7,2,2,7,3,7,9,7,9,9,4,5,2,5,10,5,5,8,4,4,12,10,7,5,13,11,2,9,12,13,11,9,6,5,6,9,11,13,7,8,10,4,9,4,5,12,4,10,6,8,11,10,2,3,10,5,9,15,3,7,5,12,10,9,3,51,18,14,15,5,5,7,1,2,8,3,6,9,6,7,1,4,6,4,8,4,6,7,7,14,6,11,9,8,11,5,6,10,7,10,16,6,4,6,19,5,13,3,11,8,6,11,10,10,10,4,7,10,8,7,10,9,8,14,9,8,7,7,15,15,10,12,15,9,9,3,8,8,12,7,6,8,16,13,17,2,20,6,12,9,10,16,14,3,2,13,3,7,11,6,5,13,1,7,5,7,10,7,8,6,4,4,16,11,5,11,9,5,8,5,11,13,20,5,13,4,8,6,14,9,9,6,8,8,5
As_One_zh.wikipedia.org_all-access_spider,13,7,14,11,20,5,32,11,6,4,15,9,29,231,40,45,9,33,9,15,10,8,10,42,31,9,89,195,45,64,49,13,46,38,1,21,57,5,14,4,28,6,5,50,11,33,5,8,8,2,32,18,38,8,24,5,10,1,19,18,24,32,75,45,8,14,34,42,58,5,4,6,8,67,86,1,29,9,36,54,35,17,19,27,13,23,19,20,34,44,12,10,20,9,26,22,11,45,7,17,21,20,25,14,10,10,11,8,8,3,37,12,15,10,12,14,10,13,17,12,8,13,6,12,10,8,13,6,12,3,11,3,10,8,7,6,4,8,8,3,7,8,10,23,10,10,11,10,14,12,8,18,7,20,50,7,8,7,114,6,19,6,53,27,63,349,75,40,12,30,10,71,109,24,80,17,18,12,18,7,14,25,17,14,27,23,11,196,13,17,11,14,38,3,34,13,11,17,16,7,36,13,8,11,17,6,175,55,11,14,48,46,10,38,17,8,16,18,6,11,18,21,19,20,47,11,26,54,5,7,29,52,13,15,6,9,18,10,6,69,21,19,46,14,31,8,22,10,12,18,10,10,13,27
B-PROJECT_zh.wikipedia.org_all-access_spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1A4_zh.wikipedia.org_all-access_spider,22,11,23,10,6,12,74,17,38,23,18,17,14,21,16,17,15,19,32,11,109,21,14,18,14,29,19,19,28,19,10,18,33,37,36,7,8,7,8,38,14,25,14,27,14,8,34,9,20,52,60,26,25,39,18,20,61,16,49,3,17,7,8,11,15,19,6,15,30,8,11,10,18,17,49,6,30,16,15,23,24,35,18,25,22,11,17,19,10,66,19,19,12,12,39,12,22,12,8,19,8,7,19,9,21,17,10,20,25,24,9,18,23,10,14,12,33,8,22,11,13,12,10,73,40,19,29,28,17,30,14,11,5,6,3,37,16,7,17,7,7,33,175,16,10,39,8,11,13,14,11,14,10,30,82,13,23,12,10,12,8,9,43,16,9,10,30,34,22,10,16,8,7,9,15,15,9,42,8,32,10,9,12,19,11,11,10,10,26,8,9,19,22,15,9,22,13,22,27,11,12,11,13,18,124,18,30,16,27,20,8,19,17,12,7,11,19,6,4,9,24,17,6,34,18,28,46,17,13,9,19,13,12,17,37,13,11,16,26,15,10,21,11,11,14,31,36,6,10,16,15,14,8,27
